Dates,feature1_1_period,feature1_5_period,feature1_21_period,feature2_1_period,feature2_5_period,feature2_21_period,feature3_1_period,feature3_5_period,feature3_21_period,feature4_1_period,feature4_5_period,feature4_21_period,feature5_1_period,feature5_5_period,feature5_21_period,feature6_1_period,feature6_5_period,feature6_21_period,feature7_1_period,feature7_5_period,feature7_21_period,feature8_1_period,feature8_5_period,feature8_21_period,feature9_1_period,feature9_5_period,feature9_21_period,feature10_1_period,feature10_5_period,feature10_21_period,feature11_1_period,feature11_5_period,feature11_21_period,feature12_1_period,feature12_5_period,feature12_21_period,feature13_1_period,feature13_5_period,feature13_21_period,feature14_1_period,feature14_5_period,feature14_21_period,feature15_1_period,feature15_5_period,feature15_21_period,feature16_1_period,feature16_5_period,feature16_21_period,feature17_1_period,feature17_5_period,feature17_21_period,feature18_1_period,feature18_5_period,feature18_21_period,feature19_1_period,feature19_5_period,feature19_21_period,feature20_1_period,feature20_5_period,feature20_21_period
2000-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-04,-0.0540983606557377,,,,,,,,,16484.0,,,3460.0,,,,,,0.18999999999999773,,,2.8000000000000007,,,,,,-0.009499999999999953,,,,,,-0.08499999999999996,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-05,0.006932409012131657,,,-0.003676470588235281,,,-0.025048923679060642,,,-14690.0,,,-1451.0,,,,,,-0.030000000000001137,,,-0.6000000000000014,,,,,,0.0034999999999999476,,,,,,0.058999999999999275,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-06,-0.0068846815834767705,,,0.012915129151291449,,,-0.005218787635487665,,,700.0,,,-695.0,,,,,,0.10000000000000853,,,-0.6799999999999997,,,,,,-0.0007999999999999119,,,,,,-0.058999999999999275,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-07,0.012131715771230622,,,-0.010473588342440832,,,-0.0225988700564973,,,1595.0,,,935.0,,,,,,0.23999999999999488,,,-4.010000000000002,,,,,,0.0043999999999999595,,,,,,0.008999999999999453,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-10,-0.001712328767123239,-0.04426229508196711,,0.01978831109065804,,,0.01857968620974404,,,-4601.0,-512.0,,-2512.0,-263.0,,,,,0.269999999999996,0.769999999999996,,-0.00999999999999801,-2.5,,,,,0.0036000000000000476,0.0012000000000000899,,,,,0.051000000000000156,-0.025000000000000355,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-11,-0.027444253859348233,-0.017331022530329254,,0.019855595667869874,0.03860294117647034,,0.04458856911228204,0.008610567514677037,,8476.0,-8520.0,,1876.0,-1847.0,,,,,-0.4299999999999926,0.15000000000000568,,0.7899999999999991,-4.510000000000002,,,,,-0.0023000000000000798,0.008399999999999963,,,,,0.06899999999999995,0.12899999999999956,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-12,-0.03880070546737213,-0.061962134251290824,,-0.007079646017698948,0.035055350553505615,,0.019790454016298087,0.054997992773986315,,7876.0,14046.0,,3245.0,2849.0,,,,,0.060000000000002274,0.2400000000000091,,0.33999999999999986,-3.5700000000000003,,,,,-0.0015999999999999348,0.0033000000000000806,,,,,0.04400000000000048,0.11400000000000077,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-13,0.007339449541284404,-0.048526863084921934,,0.0035650623885916666,0.025500910746812266,,0.015601217656012079,0.07707828894269575,,-11779.0,1567.0,,818.0,4362.0,,,,,0.37999999999999545,0.519999999999996,,-1.129999999999999,-4.02,,,,,0.0043999999999999595,0.008499999999999952,,,,,-0.07800000000000029,0.09499999999999975,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-14,-0.007285974499089298,-0.06678082191780821,,0.031083481349911235,0.06856879889553613,,0.04983139752716359,0.1568951279933939,,-948.0,-976.0,,415.0,3842.0,,,,,0.7199999999999989,1.0,,-2.0500000000000007,-2.0599999999999987,,,,,0.0028000000000000247,0.006900000000000017,,,,,0.03599999999999959,0.12199999999999989,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-17,,,,,,,,,,,,,,,,,,,0.04999999999999716,0.7800000000000011,,,,,,,,0.0030000000000000027,0.006299999999999972,,,,,0.0,0.07099999999999973,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-18,-0.029357798165137616,-0.09262435677530023,,0.026270456503014517,0.07536101083032487,,0.029621698786581163,0.16943656262667206,,4934.0,8559.0,,1117.0,7471.0,,,,,0.09000000000000341,1.2999999999999972,,1.8399999999999999,-0.21000000000000085,,,,,0.0005999999999999339,0.009199999999999986,,,,,0.03500000000000014,0.03699999999999992,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-19,0.03780718336483946,-0.031746031746031744,,0.01426772975241275,0.0694690265486726,,0.023916811091854395,0.1462941404734186,,-4066.0,-3983.0,,-210.0,5385.0,,,,,-0.09999999999999432,1.1400000000000006,,0.21999999999999886,-0.7800000000000011,,,,,0.000500000000000056,0.011299999999999977,,,,,-0.01699999999999946,-0.02400000000000002,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-20,0.012750455373406133,0.020183486238531945,,0.05875051717004576,0.14037433155080214,,0.004062288422478133,0.12861491628614918,,-48.0,-11907.0,,1024.0,3164.0,,,,,-0.4000000000000057,0.35999999999999943,,0.030000000000001137,-1.0899999999999999,,,,,0.0028000000000000247,0.009700000000000042,,,,,0.043999999999999595,0.09799999999999986,,,,,,,,,,,,,,,,,,,,,,,,,
